Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Ali, M., Metz, I., Kulik, C.T.",Retaining a diverse workforce: The impact of gender-focused human resource management,2015,Human Resource Management Journal,25,4,,580,599,10,10.1111/1748-8583.12079,https://www.scopus.com/inward/record.url?eid=2-s2.0-84934323772&partnerID=40&md5=bf85b46408cd4b51bc6dfd98d8cbd83e,Article,Final,,Scopus,2-s2.0-84934323772
"Welch, D., Björkman, I.",The Place of International Human Resource Management in International Business,2015,Management International Review,55,3,,303,322,14,10.1007/s11575-014-0226-3,https://www.scopus.com/inward/record.url?eid=2-s2.0-84931576569&partnerID=40&md5=943b34cab7d8d3aefcab5c76399eb145,Article,Final,,Scopus,2-s2.0-84931576569
"Jamieson, D.W., Rothwell, W.J.",The Convergence of Organization Development and Human Resource Management,2015,Practicing Organization Development: Leading Transformational Change: Fourth Edition,,,,384,392,1,10.12/9781119176626.ch28,https://www.scopus.com/inward/record.url?eid=2-s2.0-84979718375&partnerID=40&md5=a1814f3d8577c309858561403fce19f9,Book Chapter,Final,,Scopus,2-s2.0-84979718375
"Atli, D.","A conceptual study on employer branding at the intersection of human resources management, marketing and communications",2015,Current Approaches in Social Sciences,,,,81,90,,10.3726/978-3-653-05965-6,https://www.scopus.com/inward/record.url?eid=2-s2.0-84967496020&partnerID=40&md5=a295c78f294c3c3a6a7b68acd6187e61,Book Chapter,Final,,Scopus,2-s2.0-84967496020
"Fredericksen, E.D., Witt, S.L., Patton, W.D., Lovrich, N.P.",Human resource management: The public service perspective: Second Edition,2015,Human Resource Management: The Public Service Perspective: Second Edition,,,,1,315,2,10.4324/9781315687407,https://www.scopus.com/inward/record.url?eid=2-s2.0-84960210436&partnerID=40&md5=bc721703ddf8229d39d0164ed2bdf838,Book,Final,,Scopus,2-s2.0-84960210436
"Kadiresan, V., Selamat, M.H., Selladurai, S., Charles Ramendran, S.P.R., Mohamed, R.K.M.H.",Performance appraisal and training and development of human resource management practices (HRM) on organizational commitment and turnover intention,2015,Asian Social Science,11,24,,162,176,9,10.5539/ass.v11n24p162,https://www.scopus.com/inward/record.url?eid=2-s2.0-84987904665&partnerID=40&md5=935ea3ca2889a36fa18abb5cd303faa7,Article,Final,Open Access,Scopus,2-s2.0-84987904665
"Al-Damoe, F.M.A., Hamid, K.A., Omar, K.M.",Human resource management practices on human resource outcomes in Libyan firms: Empirical evidence,2015,Asian Social Science,11,23,,51,58,2,10.5539/ass.v11n23p51,https://www.scopus.com/inward/record.url?eid=2-s2.0-84987892012&partnerID=40&md5=f08aa10dfb078b36f7a3d9c2341875a7,Article,Final,Open Access,Scopus,2-s2.0-84987892012
"Paye, S.","Universities as modern employers. the rise of Human Resource Management in the UK | L'université, un employeur comme les autres?: L'essor de la Gestion des Ressources Humaines au Royaume-Uni",2015,Formation Emploi,,132,,51,69,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84969560108&partnerID=40&md5=d5a22443241e25e8ed90ec24b363314c,Review,Final,,Scopus,2-s2.0-84969560108
"Millar, C., Chen, S., Waller, L.",Special issue of international journal of human resource management: Leadership in global knowledge-intensive firms,2015,International Journal of Human Resource Management,26,17,,2266,2268,,10.1080/09585192.2015.1059116,https://www.scopus.com/inward/record.url?eid=2-s2.0-84986922140&partnerID=40&md5=cea9ab06c414fb35b91bd1de3de245df,Article,Final,,Scopus,2-s2.0-84986922140
"Anastasia A, .K.",Human resource management and performance in the hospitality industry: Methodological issues,2015,International Tourism and Hospitality in the Digital Age,,,,1,20,,10.4018/978-1-4666-8268-9.ch001,https://www.scopus.com/inward/record.url?eid=2-s2.0-84955135292&partnerID=40&md5=e1da3bcfaa2d3e304a4737d56f39ce06,Book Chapter,Final,,Scopus,2-s2.0-84955135292
"Dhiman, M.C., Dahiya, A.",Human resource management and sustainable tourism development: A conceptual analysis from an academic perspective,2015,International Tourism and Hospitality in the Digital Age,,,,156,171,,10.4018/978-1-4666-8265-8.ch010,https://www.scopus.com/inward/record.url?eid=2-s2.0-84955134247&partnerID=40&md5=4eb148b68ea68b96adfdfae9dce29672,Book Chapter,Final,,Scopus,2-s2.0-84955134247
"Mohinder, C.D., Amit, K.",Human resource management in indian hospitality industry: Emerging theoretical and practical aspects,2015,International Tourism and Hospitality in the Digital Age,,,,259,275,,10.4018/978-1-4666-8268-9.ch016,https://www.scopus.com/inward/record.url?eid=2-s2.0-84955076058&partnerID=40&md5=b2a7d7937eea5597f94e6f8eca665aa5,Book Chapter,Final,,Scopus,2-s2.0-84955076058
"Schutte, N., Barkhuizen, N., van der Sluis, L.",The validation of a human resource management professional competence model for the South African context,2015,SA Journal of Industrial Psychology,41,1,,,,3,10.4102/sajip.v41i1.1290,https://www.scopus.com/inward/record.url?eid=2-s2.0-84942031537&partnerID=40&md5=5fb5a3f2c410c225d4f03799c207b507,Article,Final,Open Access,Scopus,2-s2.0-84942031537
"Katou, A.A., Budhwar, P.",Human resource management and organisational productivity: A systems approach based empirical analysis,2015,Journal of Organizational Effectiveness,2,3,,244,266,7,10.1108/JOEPP-06-2015-0021,https://www.scopus.com/inward/record.url?eid=2-s2.0-85017108260&partnerID=40&md5=c22cbbb29e900fe50a9badca2456bf59,Article,Final,,Scopus,2-s2.0-85017108260
"Liu, X., Liu, S., Wang, H.",Workforce differentiation and human resource management practices: An exploratory research in China,2015,Anthropologist,21,3,,450,460,4,10.1080/09720073.2015.11891834,https://www.scopus.com/inward/record.url?eid=2-s2.0-84957865032&partnerID=40&md5=64c252f59ee949d11aebb514c9b1f606,Article,Final,,Scopus,2-s2.0-84957865032
"Raven, J., Akweongo, P., Baba, A., Baine, S.O., Sall, M.G., Buzuzi, S., Martineau, T.",Using a human resource management approach to support community health workers: Experiences from five African countries,2015,Human Resources for Health,13,1,45,,,24,10.1186/s12960-015-0034-2,https://www.scopus.com/inward/record.url?eid=2-s2.0-84940469377&partnerID=40&md5=b71de4117641976e9270acc0627608a8,Article,Final,Open Access,Scopus,2-s2.0-84940469377
"Stein, V., Scholz, T.M.",Electronic human resource management strategies for atypical employment,2015,"ICE-B 2013 - 10th International Conference on E-Business, Part of the ICETE 2013: 10th International Joint Conference on E-Business and Telecommunications, Proceedings",,,7230620,,,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84957895352&partnerID=40&md5=5a1a0974ee85b3f8e0246e66acaf9a31,Conference Paper,Final,,Scopus,2-s2.0-84957895352
"Wang, X., Hou, Y., Cullinane, N.",How does the human resource department's client relationship management impact on organizational performance in China? Mediate effect of human capital,2015,South African Journal of Economic and Management Sciences,18,3,,291,307,3,10.17159/2222-3436/2015/v18n3a1,https://www.scopus.com/inward/record.url?eid=2-s2.0-84940544891&partnerID=40&md5=9d31eb10189e41a6070650857af82adf,Article,Final,Open Access,Scopus,2-s2.0-84940544891
"Yang, W., Guan, Y., Lai, X., She, Z., Lockwood, A.J.",Career adaptability and perceived overqualification: Testing a dual-path model among Chinese human resource management professionals,2015,Journal of Vocational Behavior,90,,,154,162,22,10.1016/j.jvb.2015.08.007,https://www.scopus.com/inward/record.url?eid=2-s2.0-84940884508&partnerID=40&md5=a4a9b364d966fc06da806b9646da5126,Article,Final,,Scopus,2-s2.0-84940884508
"Kattel, G.R., Dong, X., Yang, X.",A century scale human-induced hydrological and ecological changes of wetlands of two large river basins in Australia (Murray) and China (Yangtze): Development of an adaptive water resource management framework,2015,Hydrology and Earth System Sciences Discussions,12,8,,8247,8287,2,10.5194/hessd-12-8247-2015,https://www.scopus.com/inward/record.url?eid=2-s2.0-85042576199&partnerID=40&md5=8c02ab0c73e3ac8c6da3bde71a421780,Article,Final,Open Access,Scopus,2-s2.0-85042576199
"Armstrong, M.B., Landers, R.N., Collmus, A.B.","Gamifying recruitment, selection, training, and performance management: Game-thinking in human resource management",2015,Emerging Research and Trends in Gamification,,,,140,165,31,10.4018/978-1-4666-8651-9.ch007,https://www.scopus.com/inward/record.url?eid=2-s2.0-84958012766&partnerID=40&md5=e7d54eec832d21bd95314ed6163313ae,Book Chapter,Final,,Scopus,2-s2.0-84958012766
"Wilkinson, A., Wood, G.","Special issue of international journal of human resource management — Global trends and crises, comparative capitalism and HRM",2015,International Journal of Human Resource Management,26,14,,1910,1912,2,10.1080/09585192.2015.1035091,https://www.scopus.com/inward/record.url?eid=2-s2.0-84984996445&partnerID=40&md5=1ea44f71da7760106d3c1a8f246f824f,Article,Final,,Scopus,2-s2.0-84984996445
"Wilkinson, A., Gollan, P., Kalfa, S., Xu, C.",Special issue of International Journal of Human Resource Management: Voices unheard?,2015,International Journal of Human Resource Management,26,14,,1913,1915,6,10.1080/09585192.2015.1035096,https://www.scopus.com/inward/record.url?eid=2-s2.0-84984985051&partnerID=40&md5=0097d4fdf6c434a11712049c09e6e1e8,Article,Final,,Scopus,2-s2.0-84984985051
"Newman, A., Mayson, S., Teicher, J., Barrett, R.","Special issue of International Journal of Human Resource Management: Recruiting, managing and rewarding workers in social enterprises",2015,International Journal of Human Resource Management,26,14,,1907,1909,7,10.1080/09585192.2015.1035086,https://www.scopus.com/inward/record.url?eid=2-s2.0-84984876974&partnerID=40&md5=27a7e8d71317fd2ddff5c07aa828d64c,Article,Final,,Scopus,2-s2.0-84984876974
"Li, Y., Zhang, G., Yang, X., Li, J.",The influence of collectivist human resource management practices on team-level identification,2015,International Journal of Human Resource Management,26,14,,1791,1806,14,10.1080/09585192.2014.938677,https://www.scopus.com/inward/record.url?eid=2-s2.0-84929274581&partnerID=40&md5=bcf6a2e2d2c7371d3c06e385055e9949,Article,Final,,Scopus,2-s2.0-84929274581
"Dandan, W.",Research on the human resources development and management model of migrant workers under government intervention,2015,"International Journal of Simulation: Systems, Science and Technology",16,4A,,14.1,14.6,,10.5013/IJSSST.a.16.4A.14,https://www.scopus.com/inward/record.url?eid=2-s2.0-84969506946&partnerID=40&md5=9ad9e69842218fb06a4d9559e9609172,Article,Final,,Scopus,2-s2.0-84969506946
"Muhammad Masum, A.K., Azad, M.A.K., Hoque, K.E., Beh, L.-S.",Domestic banks in Bangladesh could ensure efficiency by improving human resource management practices,2015,PLoS ONE,10,7, e0121017,,,4,10.1371/journal.pone.0121017,https://www.scopus.com/inward/record.url?eid=2-s2.0-84941794563&partnerID=40&md5=6ce3dd2fb2258b6195c902bd793dcca1,Article,Final,Open Access,Scopus,2-s2.0-84941794563
"Fortier, M., Albert, M.-N.",From Resource to Human Being: Toward Persons Management,2015,SAGE Open,5,3,,,,1,10.1177/2158244015604347,https://www.scopus.com/inward/record.url?eid=2-s2.0-84949895143&partnerID=40&md5=b467aa21dbe45954606b671901f34c09,Article,Final,Open Access,Scopus,2-s2.0-84949895143
"Glaister, K.W., Ahammad, M.F., Junni, P.",Special issue of International Journal of Human Resource Management: Organizational ambidexterity and human resource practices,2015,International Journal of Human Resource Management,26,13,,1785,1789,4,10.1080/09585192.2015.1028757,https://www.scopus.com/inward/record.url?eid=2-s2.0-84985038523&partnerID=40&md5=b7e0b193a65190a592ccaa8e2cc5c525,Article,Final,,Scopus,2-s2.0-84985038523
"Millar, C., Chen, S., Waller, L.",Special issue of international journal of human resource management: Leadership in global knowledge-intensive firms,2015,International Journal of Human Resource Management,26,13,,1779,1781,1,10.1080/09585192.2015.1024988,https://www.scopus.com/inward/record.url?eid=2-s2.0-84984910780&partnerID=40&md5=509dffc4d9989fa3ab31733dc6fddbbb,Article,Final,,Scopus,2-s2.0-84984910780
"Rodriguez, J.K., Johnstone, S., Procter, S.",Special issue of international journal of human resource management: Regulation of work and employment: Advancing theory and research in international and comparative human resource management,2015,International Journal of Human Resource Management,26,13,,1782,1784,2,10.1080/09585192.2015.1024989,https://www.scopus.com/inward/record.url?eid=2-s2.0-84984870397&partnerID=40&md5=7018dd0466e8b69461b5c2ecf88adc70,Article,Final,,Scopus,2-s2.0-84984870397
"Shen, Y., Demel, B., Unite, J., Briscoe, J.P., Hall, D.T., Chudzikowski, K., Mayrhofer, W., Abdul-Ghani, R., Bogicevic Milikic, B., Colorado, O., Fei, Z., Las Heras, M., Ogliastri, E., Pazy, A., Poon, J.M.L., Shefer, D., Taniguchi, M., Zikic, J.",Career success across 11 countries: implications for international human resource management,2015,International Journal of Human Resource Management,26,13,,1753,1778,24,10.1080/09585192.2014.962562,https://www.scopus.com/inward/record.url?eid=2-s2.0-84928768225&partnerID=40&md5=908bfcc136820104d764b764a14712e7,Article,Final,,Scopus,2-s2.0-84928768225
"Park, J., Shin, S.-Y., Lee, S., No, S.-R.",Human resource management practices and organizational creativity: The role of chief executive officer’s learning goal orientation,2015,Social Behavior and Personality,43,6,,899,908,5,10.2224/sbp.2015.43.6.899,https://www.scopus.com/inward/record.url?eid=2-s2.0-84963776944&partnerID=40&md5=5ab60dabf218566606ec29a2bd5f3a19,Article,Final,,Scopus,2-s2.0-84963776944
"Holland, P., Bardoel, A.",Special issue of international journal of human resource management: The impact of technology on work in the twenty-first century: Exploring the smart and dark side,2015,International Journal of Human Resource Management,26,11,,1520,1521,,10.1080/09585192.2015.1021155,https://www.scopus.com/inward/record.url?eid=2-s2.0-84984984940&partnerID=40&md5=e67c9f8b3661ffedfe903d0f6e321d24,Article,Final,,Scopus,2-s2.0-84984984940
"Bader, B., Schuster, T., Dickmann, M.",Special issue of international journal of human resource management: Danger and risk as challenges for HRM: How to manage people in hostile environments,2015,International Journal of Human Resource Management,26,11,,1517,1519,7,10.1080/09585192.2015.1019256,https://www.scopus.com/inward/record.url?eid=2-s2.0-84984919494&partnerID=40&md5=1984a15f45f9ff37f088c21cf444c280,Article,Final,,Scopus,2-s2.0-84984919494
"Mockaitis, A.I., Zander, L., De Cieri, H.",Special issue of international Journal of Human Resource Management: The benefits of global teams for international organizations: HR implications,2015,International Journal of Human Resource Management,26,11,,1514,1516,3,10.1080/09585192.2015.1016313,https://www.scopus.com/inward/record.url?eid=2-s2.0-84984917433&partnerID=40&md5=591f938049b4b67601d2a1a2ed002495,Article,Final,,Scopus,2-s2.0-84984917433
"Reade, C.",Firms as 'peaceful oases': Conceptualising the role of conflict-sensitive human resource management,2015,"Business, Peace and Sustainable Development",2015,5,,7,28,3,10.9774/GLEAF.8757.2015.ju.00003,https://www.scopus.com/inward/record.url?eid=2-s2.0-84995790774&partnerID=40&md5=65a439ea2808ceab5b84ec7106682ce7,Article,Final,,Scopus,2-s2.0-84995790774
"Xie, L., Yanjun, T.",The research on the university human resources risk management based on RBF neural network,2015,"International Journal of Simulation: Systems, Science and Technology",16,3B,,13.1,13.5,1,10.5013/IJSSST.a.16.3B.13,https://www.scopus.com/inward/record.url?eid=2-s2.0-84969731151&partnerID=40&md5=c14d8ab66eaa0a84897463adbfc1d460,Article,Final,,Scopus,2-s2.0-84969731151
"Oheki, J.",Cultivation systems for human resources of entrepreneur implications for management and marketing of the education system,2015,Information (Japan),18,6,,2329,2350,2,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84941897304&partnerID=40&md5=aa066d9ca0879eb182c57bf9b8effbb1,Article,Final,,Scopus,2-s2.0-84941897304
"Stone, D.L., Deadrick, D.L., Lukaszewski, K.M., Johnson, R.",The influence of technology on the future of human resource management,2015,Human Resource Management Review,25,2,,216,231,94,10.1016/j.hrmr.2015.01.002,https://www.scopus.com/inward/record.url?eid=2-s2.0-84939951949&partnerID=40&md5=5a30fbdabd82405dd7ffe46097ca33f9,Article,Final,,Scopus,2-s2.0-84939951949
"Stone, D.L., Deadrick, D.L.",Challenges and opportunities affecting the future of human resource management,2015,Human Resource Management Review,25,2,,139,145,56,10.1016/j.hrmr.2015.01.003,https://www.scopus.com/inward/record.url?eid=2-s2.0-84939940821&partnerID=40&md5=04e2fe8dd4e257b6bd27d3064e926159,Article,Final,,Scopus,2-s2.0-84939940821
"Marchington, M.",Human resource management (HRM): Too busy looking up to see where it is going longer term?,2015,Human Resource Management Review,25,2,,176,187,48,10.1016/j.hrmr.2015.01.007,https://www.scopus.com/inward/record.url?eid=2-s2.0-84939935263&partnerID=40&md5=c9ae6a9397941d6ab12056d83fb1baa4,Article,Final,,Scopus,2-s2.0-84939935263
"Elia, G., Margherita, A.",Next-generation human resource management: A system for measuring and visualising professional competencies,2015,International Journal of Human Resources Development and Management,15,1,,1,15,2,10.1504/IJHRDM.2015.069975,https://www.scopus.com/inward/record.url?eid=2-s2.0-84932622516&partnerID=40&md5=3b2434a3dc45d9998f7e97b59dbac8d2,Article,Final,,Scopus,2-s2.0-84932622516
"Phoewhawm, R., Tangkittipaporn, J.",The psychological role of human resources management for upholding learning in a team,2015,International Journal of Human Resources Development and Management,15,1,,16,39,,10.1504/IJHRDM.2015.069976,https://www.scopus.com/inward/record.url?eid=2-s2.0-84932619707&partnerID=40&md5=62ab882e28f7efe7315521252a93f486,Article,Final,,Scopus,2-s2.0-84932619707
"Abdullah, L., Zulkifli, N.",Integration of fuzzy AHP and interval type-2 fuzzy DEMATEL: An application to human resource management,2015,Expert Systems with Applications,42,9,,4397,4409,99,10.1016/j.eswa.2015.01.021,https://www.scopus.com/inward/record.url?eid=2-s2.0-84923253371&partnerID=40&md5=d0eb4774166152258171c0aaf9238e5e,Article,Final,,Scopus,2-s2.0-84923253371
"Enderwick, P., Buckley, P.J.",Special issue of international journal of human resource management: Human resources in the global factory,2015,International Journal of Human Resource Management,26,10,,1382,1383,,10.1080/09585192.2015.1014695,https://www.scopus.com/inward/record.url?eid=2-s2.0-84986890579&partnerID=40&md5=9e6987e0075ac25f2a3de2203baf78f3,Article,Final,,Scopus,2-s2.0-84986890579
"Petty, R.J., Manroop, L., Linton, S.",Integration of micro-blogs into the human resource management (HRM) areas of recruitment and selection,2015,Maximizing Commerce and Marketing Strategies through Micro-Blogging,,,,226,250,2,10.4018/978-1-4666-8408-9.ch010,https://www.scopus.com/inward/record.url?eid=2-s2.0-84957381161&partnerID=40&md5=e1a055529e39c73bbd1994a731a82144,Book Chapter,Final,,Scopus,2-s2.0-84957381161
"Donate, M.J., Guadamillas, F.","An empirical study on the relationships between knowledge management, knowledge-oriented human resource practices and innovation",2015,Knowledge Management Research and Practice,13,2,,134,148,28,10.1057/kmrp.2013.36,https://www.scopus.com/inward/record.url?eid=2-s2.0-84929088327&partnerID=40&md5=51d0f71f0093aef7ec38b291d34f1485,Article,Final,,Scopus,2-s2.0-84929088327
"Ding, M.J., Kam, B.H., Zhang, J.Y., Jie, F.",Effects of human resource management practices on logistics and supply chain competencies - Evidence from China logistics service market,2015,International Journal of Production Research,53,10,,2885,2903,16,10.1080/00207543.2014.946569,https://www.scopus.com/inward/record.url?eid=2-s2.0-85027920693&partnerID=40&md5=e4a568853d8b9532d6e694b642b7d260,Article,Final,,Scopus,2-s2.0-85027920693
"Ugheoke, S.O., Isa, M.F.M., Mohd Noor, W.S.W.",Antecedents of strategic human resource management practices on intangible firm performance: Analytical investigation of SMEs,2015,Asian Social Science,11,13,,33,44,3,10.5539/ass.v11n13p33,https://www.scopus.com/inward/record.url?eid=2-s2.0-84929334395&partnerID=40&md5=9c5c51535f153e58d0d6f39222c73666,Article,Final,Open Access,Scopus,2-s2.0-84929334395
"Saylors, J.",The tetranormalization of human resource management of persons with disabilities,2015,Organizational Change and Global Standardization: Solutions to Standards and Norms Overwhelming Organizations,,,,196,206,,10.4324/9781315757414,https://www.scopus.com/inward/record.url?eid=2-s2.0-84959918838&partnerID=40&md5=4e6589674b2fb1f9a03f996875df8afd,Book Chapter,Final,,Scopus,2-s2.0-84959918838
"Makdessi, R., Mekdessi, S.","The quality management systems, the environmental and the social responsibility management systems and their effects on human resources practices",2015,Organizational Change and Global Standardization: Solutions to Standards and Norms Overwhelming Organizations,,,,249,258,,10.4324/9781315757414,https://www.scopus.com/inward/record.url?eid=2-s2.0-84959889075&partnerID=40&md5=f8a4881d510efe840345fa1cca78753b,Book Chapter,Final,,Scopus,2-s2.0-84959889075
"Manafi, M., Subramaniam, I.D.","Relationship between human resources management practices, transformational leadership, and knowledge sharing on innovation in Iranian electronic industry",2015,Asian Social Science,11,10,,358,385,14,10.5539/ass.v11n10p358,https://www.scopus.com/inward/record.url?eid=2-s2.0-84928627381&partnerID=40&md5=f059ea6dd68d2e27c44525bcb5a36960,Article,Final,Open Access,Scopus,2-s2.0-84928627381
"Manafi, M., Subramaniam, I.D.",Balancing performance by human resource management practices,2015,Asian Social Science,11,10,,386,400,4,10.5539/ass.v11n10p386,https://www.scopus.com/inward/record.url?eid=2-s2.0-84928621920&partnerID=40&md5=aa82df543fcefa27e050b7245f96e449,Article,Final,Open Access,Scopus,2-s2.0-84928621920
"Kornelakis, A., Voskeritsian, H.",International and Comparative Human Resource Management,2015,Global Enterprise Management: New Perspectives on Challenges and Future Developments,,,,21,36,,10.1057/9781137429599_2,https://www.scopus.com/inward/record.url?eid=2-s2.0-85047586292&partnerID=40&md5=4514d38cd0bad331ecfe2fdef33ac0f1,Book Chapter,Final,,Scopus,2-s2.0-85047586292
"Gannon, J.M., Roper, A., Doherty, L.",Strategic human resource management: Insights from the international hotel industry,2015,International Journal of Hospitality Management,47,,,65,75,25,10.1016/j.ijhm.2015.03.003,https://www.scopus.com/inward/record.url?eid=2-s2.0-84961289800&partnerID=40&md5=016bdadbf03129ad5352690031cfc44a,Article,Final,,Scopus,2-s2.0-84961289800
"Khansarinejad, B., Soleimanjahi, H., Mirab Samiee, S., Hamidieh, A.A., Paryan, M., Sanahmadi, Y., Karami, M., Mondanizadeh, M.",Monitoring human cytomegalovirus infection in pediatric hematopoietic stem cell transplant recipients: Using an affordable in-house qPCR assay for management of HCMV infection under limited resources,2015,Transplant International,28,5,,594,603,3,10.1111/tri.12545,https://www.scopus.com/inward/record.url?eid=2-s2.0-84928360869&partnerID=40&md5=7df98c5175603dace51923e7ac1c27f7,Article,Final,,Scopus,2-s2.0-84928360869
"Manafi, M., Subramaniam, I.D.",The role of the perceived justice in the relationship between human resource management practices and knowledge sharing: A study of Malaysian universities lecturers,2015,Asian Social Science,11,12,,131,143,6,10.5539/ass.v11n12p131,https://www.scopus.com/inward/record.url?eid=2-s2.0-84929336182&partnerID=40&md5=ce8e210b0e085c3adf3e6624f57392ab,Article,Final,Open Access,Scopus,2-s2.0-84929336182
"Peltokorpi, V.",Language-oriented human resource management practices in multinational companies,2015,The Routledge Companion to Cross-Cultural Management,,,,161,169,3,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85001769727&partnerID=40&md5=d3f7f8367a42a5f784325eab5f97dade,Book Chapter,Final,,Scopus,2-s2.0-85001769727
"De Lange, A.H., Kooij, D.T.A.M., Van der Heijden, B.I.J.M.",Human resource management and sustainability at work across the lifespan: An integrative perspective,2015,Facing the Challenges of a Multi-Age Workforce: A Use-Inspired Approach,,,,50,79,28,10.4324/9780203776322,https://www.scopus.com/inward/record.url?eid=2-s2.0-84942589655&partnerID=40&md5=60ee2e3ce259e4eb424a46aab56f234e,Book Chapter,Final,,Scopus,2-s2.0-84942589655
"Diaz-Fernandez, M., Bornay-Barrachina, M., Lopez-Cabrales, A.",Innovation and firm performance: the role of human resource management practices,2015,Evidence-based HRM,3,1,,64,80,10,10.1108/EBHRM-10-2012-0012,https://www.scopus.com/inward/record.url?eid=2-s2.0-84958526184&partnerID=40&md5=81d48130d5dea880524950f3ab016edc,Article,Final,,Scopus,2-s2.0-84958526184
